Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
"Green Valley Enterprises, Inc.",Beaver Dam,WI,55352,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.50,0
"Endeavors Adult Development Center, Inc.",Balsam Lake,WI,55353,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
"Endeavors Adult Development Center, Inc.",Balsam Lake,WI,55353,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6.00,0
"Handishop Industries, Inc.",Tomah,WI,55354,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7.00,0
"Headwaters, Inc.",Rhinelander,WI,55355,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,1,0,1,1,2,7,1,0,0,0,0,0,14,10.79,0
Highline Corporation,Hurley,WI,55356,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.50,0
"Hodan Community Services, Inc.",Mineral Point,WI,55357,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,9.67,0
"Hodan Community Services, Inc.",Mineral Point,WI,55357,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,10,5.00,0
Interfaith Caregivers of Washington County,West Bend,WI,55358,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,10.00,0
"Kenosha Achievement Center, Inc.",Kenosha,WI,55359,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
"Kenosha Achievement Center, Inc.",Kenosha,WI,55359,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4.80,0
"Kenosha Achievement Center, Inc.",Kenosha,WI,55359,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,3,0,2,0,2,1,3,0,1,0,4,3,2,0,0,0,0,0,21,7.67,0
"Lauri Jean Zach Center, Inc.",Glidden,WI,55360,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.00,0
"Lauri Jean Zach Center, Inc.",Glidden,WI,55360,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
"Harry & Rose Samson Family Jewish Community Center, Inc.",Milwaukee,WI,55361,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,13.00,0
"New Hope Center, Inc.",Chilton,WI,55363,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
"New Hope Center, Inc.",Chilton,WI,55363,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,5,6.00,0
"New Hope Center, Inc.",Chilton,WI,55363,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4.33,0
"Southwest Opportunities Center, Inc.",Lancaster,WI,55364,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
"Southwest Opportunities Center, Inc.",Lancaster,WI,55364,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.25,0
"Senior Connections, Inc",Superior,WI,55365,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
"Southwestern WI Community Action Program, Inc.",Dodgeville,WI,55366,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,5,8.40,0
"Southwestern WI Community Action Program, Inc.",Dodgeville,WI,55366,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,9.00,0
"Mile Bluff Medical Center, Inc.",Mauston,WI,55367,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
"Mile Bluff Medical Center, Inc.",Mauston,WI,55367,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
North Central Health Care,Wausau,WI,55368,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
North Central Health Care,Wausau,WI,55368,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,8,5.38,0
"St. Coletta of Wisconsin, Inc.",Jefferson,WI,55370,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
"St. Coletta of Wisconsin, Inc.",Jefferson,WI,55370,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,7.33,0
"St. Coletta of Wisconsin, Inc.",Jefferson,WI,55370,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,3,1,0,2,2,0,0,2,3,2,0,0,0,0,0,0,0,16,6.38,0
United Community Center,Milwaukee,WI,55372,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5.33,0
"Vernon Area Rehabilitation Center, Inc.",Viroqua,WI,55373,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,16.00,0
"Vernon Area Rehabilitation Center, Inc.",Viroqua,WI,55373,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,2,3,2,2,0,0,4,0,0,0,2,1,0,1,0,0,0,0,17,5.88,0
"Waushara Industries, Inc.",Wautoma,WI,55374,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6.50,0
"Waushara Industries, Inc.",Wautoma,WI,55374,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,7,9.00,0
"Wheels of Independence, Inc.",Wisconsin Rapids,WI,55375,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.67,0
Opportunity Development Centers,Wisconsin Rapids,WI,55376,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
Opportunity Development Centers,Wisconsin Rapids,WI,55376,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15.00,0
"Ventures Unlimited, Inc.",Shell Lake,WI,55377,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
"Ventures Unlimited, Inc.",Shell Lake,WI,55377,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4.00,0
Tomahawk Area Interfaith Volunteers,Tomahawk,WI,55378,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.00,0
"ARC of Fond du Lac, Inc.",Fond Du Lac,WI,55379,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,8.33,0
"ARC of Fond du Lac, Inc.",Fond Du Lac,WI,55379,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,7.67,0
Barron County Developmental Services Inc.,Barron,WI,55380,Corporation,Reduced Asset Reporter,,,,0,Van,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0
Barron County Developmental Services Inc.,Barron,WI,55380,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Barron County Developmental Services Inc.,Barron,WI,55380,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33,0
Brooke Industries,Fond Du Lac,WI,55382,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
"Community Alternatives, Inc.",Shawano,WI,55383,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0
"Community Alternatives, Inc.",Shawano,WI,55383,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
County of Columbia,Portage,WI,55384,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,1,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,10,6.50,0
County of Columbia,Portage,WI,55384,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13.00,0
County of Crawford,Prairie Du Chien,WI,55385,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,6.50,0
County of Crawford,Prairie Du Chien,WI,55385,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8.00,0
County of Manitowoc,Manitowoc,WI,55387,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
County of Manitowoc,Manitowoc,WI,55387,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,6.75,0
County of Manitowoc,Manitowoc,WI,55387,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.00,0
County of Richland,Richland Center,WI,55389,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,17.00,0
County of Richland,Richland Center,WI,55389,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
County of Richland,Richland Center,WI,55389,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5.67,0
County of Vernon,Viroqua,WI,55390,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,7.33,0
County of Wood,Wisconsin Rapids,WI,55391,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.00,0
County of Wood,Wisconsin Rapids,WI,55391,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,6,9.17,0
County of Shawano,Shawano,WI,55393,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,5,8.80,0
County of Shawano,Shawano,WI,55393,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
County of Shawano,Shawano,WI,55393,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
County of Shawano,Shawano,WI,55393,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,5,10.60,0
County of Shawano,Shawano,WI,55393,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,0,0,2,0,1,0,3,0,3,0,0,0,0,0,0,0,9,8.56,0
County of Sheboygan,Sheboygan,WI,55394,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
County of Sheboygan,Sheboygan,WI,55394,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,2,2,1,1,1,2,0,0,1,0,0,0,0,0,0,10,6.90,0
County of St. Croix,New Richmond,WI,55395,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
County of St. Croix,New Richmond,WI,55395,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,9.50,0
County of Waupaca,Waupaca,WI,55397,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
County of Waupaca,Waupaca,WI,55397,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6.00,0
"Marinette County Committee on Aging, Inc.",Crivitz,WI,55398,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.50,0
"VIP Services, Inc.",Elkhorn,WI,55399,Corporation,Reduced Asset Reporter,,,,0,Van,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"VIP Services, Inc.",Elkhorn,WI,55399,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,2,0,2,0,6,0,2,1,0,0,0,0,0,0,0,0,13,6.62,0
"VIP Services, Inc.",Elkhorn,WI,55399,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,4,2,3,1,0,1,0,1,0,0,0,0,0,0,0,13,5.62,0
"VIP Services, Inc.",Elkhorn,WI,55399,Corporation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.00,0
"Tri-State Regional Ambulance, Inc.",Viroqua,WI,55400,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.00,0
Kent County Community Action,Grand Rapids,MI,55401,Corporation,Reduced Asset Reporter,,,,0,Van,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2.00,0
Kent County Community Action,Grand Rapids,MI,55401,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
Kent County Community Action,Grand Rapids,MI,55401,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
"Ashland County Aging Unit, Inc.",Ashland,WI,55404,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"Careers Industries, Inc.",Racine,WI,55405,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,13.67,0
"Careers Industries, Inc.",Racine,WI,55405,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,2,0,3,0,0,0,6,0,0,0,0,0,11,11.45,0
Covey,Oshkosh,WI,55406,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,14.00,0
"Goodwill Industries of SE Wisconsin, Inc.",Milwaukee,WI,55407,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14.00,0
"Goodwill Industries of SE Wisconsin, Inc.",Milwaukee,WI,55407,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8.00,0
"Goodwill Industries of SE Wisconsin, Inc.",Milwaukee,WI,55407,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,8.00,0
"Lutheran Homes of Oshkosh, inc.",Oshkosh,WI,55409,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.00,0
"Lutheran Homes of Oshkosh, inc.",Oshkosh,WI,55409,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,11.33,0
Lutheran Social Services,West Allis,WI,55410,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17.00,0
Lutheran Social Services,West Allis,WI,55410,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Morrow Home Community,Sparta,WI,55411,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Morrow Home Community,Sparta,WI,55411,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9.50,0
County of Juneau,Mauston,WI,55412,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
County of Juneau,Mauston,WI,55412,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.00,0
County of Lincoln,Merrill,WI,55413,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,9.67,0
County of Monroe,Sparta,WI,55414,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.50,0
County of Monroe,Sparta,WI,55414,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,2,0,4,0,0,0,1,1,0,0,0,0,0,0,8,7.62,0
Crawford County Opportunity Center,Prairie Du Chien,WI,55415,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Crawford County Opportunity Center,Prairie Du Chien,WI,55415,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6.17,0
"Opportunity of North Central Wisconsin, Inc.",Wausau,WI,55416,Corporation,Reduced Asset Reporter,,,,0,School Bus,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,12.33,0
"Opportunity of North Central Wisconsin, Inc.",Wausau,WI,55416,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,10.50,0
"Opportunity of North Central Wisconsin, Inc.",Wausau,WI,55416,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,2,0,0,0,0,0,2,0,2,0,0,7,8,0,0,0,0,0,21,10.81,0
"Baragaland Senior Citizens, Inc.",L'anse,MI,55417,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6.00,0
"Baragaland Senior Citizens, Inc.",L'anse,MI,55417,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.00,0
Baraga/Houghton/ Keweenaw Community Action Agency,Houghton,MI,55418,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Baraga/Houghton/ Keweenaw Community Action Agency,Houghton,MI,55418,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
Baraga/Houghton/ Keweenaw Community Action Agency,Houghton,MI,55418,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
"TRICO Opportunities, Inc.",Kingsford,MI,55419,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.20,0
"TRICO Opportunities, Inc.",Kingsford,MI,55419,Corporation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,,
"TRICO Opportunities, Inc.",Kingsford,MI,55419,Corporation,Reduced Asset Reporter,,,,0,Sports Utility Vehicle,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,0
Wellspring Lutheran Services,Frankenmuth,MI,55420,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
Wellspring Lutheran Services,Frankenmuth,MI,55420,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
United Methodist Community House,Grand Rapids,MI,55422,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,8.00,0
U.P. Community Services Inc.,Iron Mountain,MI,55423,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
U.P. Community Services Inc.,Iron Mountain,MI,55423,Corporation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
U.P. Community Services Inc.,Iron Mountain,MI,55423,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.00,0
St. Mary's Guardian Angel Respite and Day Care Service,Saginaw,MI,55424,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8.50,0
St. Mary's Guardian Angel Respite and Day Care Service,Saginaw,MI,55424,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.50,0
Senior Neighbors,Grand Rapids,MI,55425,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.00,0
Senior Neighbors,Grand Rapids,MI,55425,Corporation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
Senior Neighbors,Grand Rapids,MI,55425,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
Senior Neighbors,Grand Rapids,MI,55425,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.00,0
Saginaw County Commission on Aging,Saginaw,MI,55426,Corporation,Reduced Asset Reporter,,,,0,Van,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.71,0
Saginaw County Commission on Aging,Saginaw,MI,55426,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
Saginaw County Commission on Aging,Saginaw,MI,55426,Corporation,Reduced Asset Reporter,,,0,0,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,
Presque Isle County Council on Aging,Posen,MI,55427,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.00,0
Presque Isle County Council on Aging,Posen,MI,55427,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.00,0
Oscoda County Area Transit Specialists,Mio,MI,55428,Corporation,Reduced Asset Reporter,,,,0,Van,2,0,0,0,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,9,6.33,0
Oceana County Commission on Aging,Hart,MI,55429,Corporation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,
Oceana County Commission on Aging,Hart,MI,55429,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.14,0
Northfields Human Service Agency,Whitmore Lake,MI,55430,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Northfields Human Service Agency,Whitmore Lake,MI,55430,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6.50,0
